Month,Time,Office,Meeting_details,type,Day
2/22/16,8:00,,,none,Monday
2/22/16,8:30,PRO,Meeting with PRO team ,USAID,Monday
2/22/16,9:00,PRO,Meeting with PRO team ,USAID,Monday
2/22/16,9:30,,,none,Monday
2/22/16,10:00,,,none,Monday
2/22/16,10:30,,,none,Monday
2/22/16,11:00,SPRING,SPRING Technical Assistance In-brief USAID ,USAID,Monday
2/22/16,11:30,SPRING,SPRING Technical Assistance In-brief USAID ,USAID,Monday
2/22/16,12:00,SPRING,SPRING Technical Assistance In-brief USAID ,USAID,Monday
2/22/16,12:30,,,none,Monday
2/22/16,13:00,,,none,Monday
2/22/16,13:30,,,none,Monday
2/22/16,14:00,,,none,Monday
2/22/16,14:30,DG,Portfolio Review Meeting Democracy and Governance,Portfolio Review,Monday
2/22/16,15:00,DG,Portfolio Review Meeting Democracy and Governance,Portfolio Review,Monday
2/22/16,15:30,DG,Portfolio Review Meeting Democracy and Governance,Portfolio Review,Monday
2/22/16,16:00,DG,Portfolio Review Meeting Democracy and Governance,Portfolio Review,Monday
2/22/16,16:30,GEO,Worked at Mission,USAID,Monday
2/22/16,17:00,GEO,Worked at Mission,USAID,Monday
2/22/16,17:30,Shuttle,Crammed car back to hotel,USAID,Monday
2/23/16,8:00,,,none,Tuesday
2/23/16,8:30,,,none,Tuesday
2/23/16,9:00,DG,Discussion w/GeoCenterês team on GIS tools for DG,Needs Assessment,Tuesday
2/23/16,9:30,DG,Discussion w/GeoCenterês team on GIS tools for DG,Needs Assessment,Tuesday
2/23/16,10:00,ESRI,Meeting with ESRI Rwanda,IP,Tuesday
2/23/16,10:30,ESRI,Meeting with ESRI Rwanda,IP,Tuesday
2/23/16,11:00,ESRI,Meeting with ESRI Rwanda,IP,Tuesday
2/23/16,11:30,,,none,Tuesday
2/23/16,12:00,,,none,Tuesday
2/23/16,12:30,,,none,Tuesday
2/23/16,13:00,Chemonics,GIS discussion with Land Project,IP,Tuesday
2/23/16,13:30,Chemonics,GIS discussion with Land Project,IP,Tuesday
2/23/16,14:00,RNRA,GIS discussion with Rwanda National Resource Authority on Land Use Portal,Government,Tuesday
2/23/16,14:30,RNRA,GIS discussion with Rwanda National Resource Authority on Land Use Portal,Government,Tuesday
2/23/16,15:00,RNRA,GIS discussion with Rwanda National Resource Authority on Land Use Portal,Government,Tuesday
2/23/16,15:30,ED,Portfolio Review Meeting Education,Portfolio Review,Tuesday
2/23/16,16:00,ED,Portfolio Review Meeting Education,Portfolio Review,Tuesday
2/23/16,16:30,ED,Portfolio Review Meeting Education,Portfolio Review,Tuesday
2/23/16,17:00,,,none,Tuesday
2/23/16,17:30,Shuttle,Crammed car back to hotel,USAID,Tuesday
2/24/16,8:00,,,none,Wednesday
2/24/16,8:30,JHPIEGO,Meeting with JHPIEGO (Maternal and Child Survival Program),IP,Wednesday
2/24/16,9:00,JHPIEGO,Meeting with JHPIEGO (Maternal and Child Survival Program),IP,Wednesday
2/24/16,9:30,JHPIEGO,Meeting with JHPIEGO (Maternal and Child Survival Program),IP,Wednesday
2/24/16,10:00,,,none,Wednesday
2/24/16,10:30,,,none,Wednesday
2/24/16,11:00,MSH,Rwanda Health System Strengthening Project (MSH),IP,Wednesday
2/24/16,11:30,MSH,Rwanda Health System Strengthening Project (MSH),IP,Wednesday
2/24/16,12:00,MSH,,none,Wednesday
2/24/16,12:30,,,none,Wednesday
2/24/16,13:00,Kenya LAM,Livelihood Analysis Discussion with Kenya Mission,USAID,Wednesday
2/24/16,13:30,Kenya LAM,Livelihood Analysis Discussion with Kenya Mission,USAID,Wednesday
2/24/16,14:00,NA poolworking,Customized needs assessment presenation work and review,USAID,Wednesday
2/24/16,14:30,NA poolworking,Customized needs assessment presenation work and review,USAID,Wednesday
2/24/16,15:00,NA poolworking,Customized needs assessment presenation work and review,USAID,Wednesday
2/24/16,15:30,NA poolworking,Customized needs assessment presenation work and review,USAID,Wednesday
2/24/16,16:00,NA poolworking,Customized needs assessment presenation work and review,USAID,Wednesday
2/24/16,16:30,,,none,Wednesday
2/24/16,17:00,,,none,Wednesday
2/24/16,17:30,,,none,Wednesday
2/25/16,8:00,,,none,Thursday
2/25/16,8:30,,,none,Thursday
2/25/16,9:00,,,none,Thursday
2/25/16,9:30,EG,Discussion w/GeoCenter team on GIS tools for Economic Growth,Needs Assessment,Thursday
2/25/16,10:00,EG,Discussion w/GeoCenter team on GIS tools for Economic Growth,Needs Assessment,Thursday
2/25/16,10:30,,,none,Thursday
2/25/16,11:00,EDU,Discussion w/GeoCenter team on GIS tools for EDU,Needs Assessment,Thursday
2/25/16,11:30,EDU,Discussion w/GeoCenter team on GIS tools for EDU,Needs Assessment,Thursday
2/25/16,12:00,,,none,Thursday
2/25/16,12:30,,,none,Thursday
2/25/16,13:00,Health,Discussion w/GeoCenter team on GIS tools for Health,Needs Assessment,Thursday
2/25/16,13:30,Health,Discussion w/GeoCenter team on GIS tools for Health,Needs Assessment,Thursday
2/25/16,14:00,EG,Portfolio Review Meeting (Economic Growth),Portfolio Review,Thursday
2/25/16,14:30,EG,Portfolio Review Meeting (Economic Growth),Portfolio Review,Thursday
2/25/16,15:00,EG,Portfolio Review Meeting (Economic Growth),Portfolio Review,Thursday
2/25/16,15:30,EG,Portfolio Review Meeting (Economic Growth),Portfolio Review,Thursday
2/25/16,16:00,,,none,Thursday
2/25/16,16:30,Burundi,Meeting with Burundi Program Office,USAID,Thursday
2/25/16,17:00,Burundi,Meeting with Burundi Program Office,USAID,Thursday
2/25/16,17:30,DMD,Outbrief with Deputy Mission Director,USAID,Thursday
2/26/16,8:00,,,none,Friday
2/26/16,8:30,,,none,Friday
2/26/16,9:00,NISR,Meeting with National Institute of Statistics - GIS (NISR),Government,Friday
2/26/16,9:30,NISR,Meeting with National Institute of Statistics - GIS (NISR),Government,Friday
2/26/16,10:00,MINAGRI,Meeting with MINAGRI GIS team,Government,Friday
2/26/16,10:30,MINAGRI,Meeting with MINAGRI GIS team,Government,Friday
2/26/16,11:00,MINAGRI,Meeting with MINAGRI GIS team,Government,Friday
2/26/16,11:30,PRO,Outbrief with Program Office,USAID,Friday
2/26/16,12:00,PRO,Outbrief with Program Office,USAID,Friday
2/26/16,12:30,,,none,Friday
2/26/16,13:00,Mission Closed,,closed,Friday
2/26/16,13:30,Mission Closed,,closed,Friday
2/26/16,14:00,Mission Closed,,closed,Friday
2/26/16,14:30,Mission Closed,,closed,Friday
2/26/16,15:00,Mission Closed,,closed,Friday
2/26/16,15:30,Mission Closed,,closed,Friday
2/26/16,16:00,Mission Closed,,closed,Friday
2/26/16,16:30,Mission Closed,,closed,Friday
2/26/16,17:00,Mission Closed,,closed,Friday
2/26/16,17:30,Mission Closed,,closed,Friday
